n,r,seed,var_a,var_b,raw_mi_nats,synthetic_mi_nats,abs_mi_error_nats
10000,1,1,hours_per_week,income_class,0.034457,0.004874,0.029584
10000,1,2,age,education_num,0.045492,0.061762,0.016269
10000,1,2,age,hours_per_week,0.123256,0.126612,0.003355
10000,1,2,age,income_class,0.138833,0.146064,0.007232
10000,1,2,education_num,hours_per_week,0.024088,0.004033,0.020055
10000,1,2,education_num,income_class,0.273411,0.288826,0.015415
10000,1,2,hours_per_week,income_class,0.034457,0.004481,0.029977
10000,1,3,age,education_num,0.045492,0.05337,0.007878
10000,1,3,age,hours_per_week,0.123256,0.130627,0.007371
10000,1,3,age,income_class,0.138833,0.141453,0.00262
10000,1,3,education_num,hours_per_week,0.024088,0.003155,0.020933
10000,1,3,education_num,income_class,0.273411,0.2813,0.007889
10000,1,3,hours_per_week,income_class,0.034457,0.004202,0.030255
10000,1,4,age,education_num,0.045492,0.057454,0.011962
10000,1,4,age,hours_per_week,0.123256,0.12608,0.002823
10000,1,4,age,income_class,0.138833,0.144644,0.005811
10000,1,4,education_num,hours_per_week,0.024088,0.002896,0.021192
10000,1,4,education_num,income_class,0.273411,0.275447,0.002036
10000,1,4,hours_per_week,income_class,0.034457,0.003174,0.031283
10000,2,0,age,education_num,0.045492,0.048385,0.002893
10000,2,0,age,hours_per_week,0.123256,0.127492,0.004236
10000,2,0,age,income_class,0.138833,0.145044,0.006212
10000,2,0,education_num,hours_per_week,0.024088,0.023918,0.000171
10000,2,0,education_num,income_class,0.273411,0.271528,0.001883
10000,2,0,hours_per_week,income_class,0.034457,0.035842,0.001384
10000,2,1,age,education_num,0.045492,0.052576,0.007083
10000,2,1,age,hours_per_week,0.123256,0.126167,0.002911
10000,2,1,age,income_class,0.138833,0.139081,0.000248
10000,2,1,education_num,hours_per_week,0.024088,0.025051,0.000962
10000,2,1,education_num,income_class,0.273411,0.282766,0.009355
10000,2,1,hours_per_week,income_class,0.034457,0.039262,0.004804
10000,2,2,age,education_num,0.045492,0.055208,0.009716
10000,2,2,age,hours_per_week,0.123256,0.119407,0.003849
10000,2,2,age,income_class,0.138833,0.144452,0.00562
10000,2,2,education_num,hours_per_week,0.024088,0.025672,0.001584
10000,2,2,education_num,income_class,0.273411,0.288826,0.015415
10000,2,2,hours_per_week,income_class,0.034457,0.03796,0.003503
10000,2,3,age,education_num,0.045492,0.045705,0.000213
10000,2,3,age,hours_per_week,0.123256,0.125062,0.001805
10000,2,3,age,income_class,0.138833,0.134749,0.004084
10000,2,3,education_num,hours_per_week,0.024088,0.022637,0.001451
10000,2,3,education_num,income_class,0.273411,0.2813,0.007889
10000,2,3,hours_per_week,income_class,0.034457,0.033748,0.00071
10000,2,4,age,education_num,0.045492,0.05104,0.005548
10000,2,4,age,hours_per_week,0.123256,0.12608,0.002823
10000,2,4,age,income_class,0.138833,0.146294,0.007461
10000,2,4,education_num,hours_per_week,0.024088,0.020269,0.003819
10000,2,4,education_num,income_class,0.273411,0.277677,0.004266
10000,2,4,hours_per_week,income_class,0.034457,0.033815,0.000642
